机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73N,73N06724,1323    ,DE    ,CC    ,57186-11                ,5718610907      ,29,X,X,FAIL  ,2017-12-03,00:00,0,00:00,0,2018-01-05,161:00,54,161:00,54,"Due to prefciyht check found ,low pressure in sys B 2580psi 机组",161:00,"        航前依据AMM29-11-21,更换B系统EMDP和B系统壳体回油滤,完成液压系统排气未见渗漏,B系统压力2970psi,正常,王刚 韩杰PF REF AMM29-11-21,replace B system EMDP and B system case drainfilter ,accomplish HYD bleed ,no leakage ,B system pressure 2970psi,normal封圈 PN OFF:NAS1612-6  PN ON:NAS1612-6封圈 PN OFF:NAS1612-10  PN ON:NAS1612-10封圈 PN OFF:NAS1612-12  PN ON:NAS1612-12壳体回油滤 PN OFF:7577741  PN ON:7577741",54,57186-10                ,571868330       ,,48.0,104.14,, ,PUMP                                                        ,5695107,00011593
73N,73N05655,6995    ,DE    ,CC    ,57186-11                ,571864735       ,29,X,X,FAIL  ,2018-08-14,8859:06,3913,30374:18,15751,2018-11-29,9870:26,4325,31385:38,16163,航前检查发现A系统EMDP本体漏油  令红兵PF CHECK AND FOUND A SYSTEM EMDP HAVE LEAKAGE,1011:20,     航前依据AMM29-11-21更换A系统EMDP，依据AMM29-11-51更换A系统壳体回油滤检查无渗漏，测试正常   令红兵PF REFER TO AMM29-11-21 REPLACE A SYSTEM EMDP REFER AMM29-11-51REPLACE A SYSTEM CASE FITER CHECK NO LEAKAGE TEST IS OK壳体回油滤 case fiter  7577741封圈 packing NAS1612-6A /NAS1611-114A,412,57186-11                ,571868740       ,武汉航达,5519.0,11381.2,, ,PUMP                                                        ,6848320,00028843
73N,73N06210,1549    ,DE    ,CC    ,57186-11                ,5718610227      ,29,X,X,FAIL  ,2016-12-12,00:00,0,00:00,0,2017-12-31,3171:46,1598,3171:46,1598,过站机组反映B系统EMDP低压灯亮。李志伟 TR REW CSPORL B SYSTEM EMDP LOWPRESSULE LIGHT ON.,3171:46,        航后依据AMM29-11-21更换B系统EMDP更换壳体回油滤，更换EMDP压力油滤。依据ssm29-11-12 更换R318继电器和与A系统对串地面故障探测器，测试正常并更换面板，测试正常。李志伟 AF REFER AMM29-11-21 REPLACED THE BSYSTEM ELECTRIC MOTOR-DRICEN PINCP AND CASE CLAIN FILTER AND PRESSUREMODILE FILURE REFER SSM 29-11-12 REPLACED SYS B ELEC I HYD PUNPRELAY(R318) AND DTARGE EUD FANH TRLEDER OF SYS A AND REPLACED THELHPDRAULIC NODNLE TEST NORMAL 57186-11    5718610227      57186-10571868852 3E2Y8/436-2       24301 原B系统     3e2y8/436-224349原A系统,1598,57186-10                ,571868852       ,,168.0,209.37,, ,PUMP                                                        ,5675241,11370442
73N,73N06476,1487    ,DE    ,CC    ,57186-11                ,5718610588      ,29,X,X,FAIL  ,2017-06-29,00:00,0,00:00,0,2018-07-01,2884:39,1508,2884:39,1508,B系统电动泵低压灯亮 .韩皇定B system  endp low pressure,2884:39,    航后依据AMM29-11-21更换EMDP.R318和M1106后.测试正常无渗漏.完成系统放气和液压油勤务.韩皇定AF refer to AMM29-11-21 repalce the EMDP R318 和M1106 relay andM1106 relay test it ok继电器PN:9124-10400,1508,57186-11                ,571865344       ,,16758.0,31435.17,, ,PUMP                                                        ,6318601,11412532
73N,73N07136,206H    ,DE    ,CC    ,57186-11                ,5718611419      ,29,X,X,FAIL  ,2018-09-18,00:00,0,00:00,0,2018-09-26,61:40,29,61:40,29,"航前反映B系统EMDP压力低，打泵只有2600PSI  陶旭PF CHECK EMDP PRESSURE OF SYS-B IS LOW, ONLY 2600PSI",61:40,"     航后依据AMM29-15-34检查B系统壳体油滤干净，依据AMM29-11-21更换液压B系统EMDP,测试正常且无渗漏，压力为3000PSI   陶旭AF REFER TO AMM29-15-34 INSPECTION B SYSTEM CASE FILTER ARE CLEANAND REFER TO AMM29-11-21 REPLACE THE EMDP OF HYDRAULIC B SYSTEM,TEST NORMAL, NO LEAK, 3000PSI油滤：7577741  封圈：NAS1611-114   NAS1611-220",29,57186-11                ,571866682       ,,13459.0,19249.43,, ,PUMP                                                        ,6627253,11580523
73N,73N06667,1346    ,DE    ,CC    ,57186-11                ,5718610837      ,29,X,X,FAIL  ,2017-10-30,00:00,0,00:00,0,2019-03-16,3927:52,1998,3927:52,1998,A系统EMDP过热灯间歇性亮.  王泽权HYD A SYS EMDP overheat light intermittent come on,3927:52,"    航后依据AMM29-11-21更换A系统EMDP,测试结果正常.  王泽权AF refer to AMM29-11-21 replace A SYS EMDP and test normal封圈packing:NAS1612-6A封圈packing:NAS1612-10A封圈packing:NAS1612-12A",1998,57186-11                ,K1439           ,,30645.0,51080.52,, ,PUMP                                                        ,7228343,11631276
73N,73N02668,5405    ,DE    ,CC    ,57186-11                ,5718611419      ,29,X,X,FAIL  ,2019-04-14,34007:46,17571,61:40,29,2019-05-09,34192:32,17671,246:26,129,B系统壳体油滤有大量金属屑 EMDP CASE DRADP FILLER ELE HAVE METERSYSTEMB  曹猛刚,184:46,       航后依据AMM29-11-41检查B系统压力组件上EMDP油滤无金属屑 依据AMM29-11-21更换B系统EMDP 依据AMM29-11-27更换B系统EMDP消音器 未完成试验检查渗漏    曹猛刚 AF REF AMM29-11-41CHECK THE EMDP PRESSURE FILLTER NOPRETAL REF TO AMM29-11-21 REPLACE EMDP OF SYSTEM B REF TO AMM29-11-27REPLACE EMDP SYSTEM B NOT TEST AND CHECK LEAK 封圈 NAS1612-6 封圈NAS1612-10 FROM 11693305B 航后依据AMM29-11-21以及AMM29-11-27检查EMDP以及EMDP消音器 检查无渗漏 AF REF AMM29-11-21AND AMM29-11-27 CHECK THE EMDP AND EMDP NO LEAKING 麻宏玮,100,57186-11                ,571868133       ,鹏翔飞控,538.0,990.14,184:46,100,PUMP                                                        ,7406911,11683300
73N,73N06210,1549    ,DE    ,CC    ,57186-11                ,5718610236      ,29,X,X,FAIL  ,2018-10-16,5623:34,2933,3208:40,1475,2019-06-07,7371:22,3889,4956:28,2431,FLB11709438A,1747:48,"    航后更换B系统EMDP,检查正常，测试无渗漏，测试正常，依据AMM29-11-21 AFreplaced B HYD SYS EMDP,checked normal test no leak and testnormal,ref AMM29-11-21 封圈：NAS1612-12 （1EA)   封圈：NAS1612-6A(1EA) 封圈：NAS1612-10A  (1EA) 
徐伟标",956,57186-11                ,571866907       ,PARKER  US,11436.0,22778.21,1747:48,956,PUMP                                                        ,7491994,11709440
73N,73N06218,7993    ,DE    ,CC    ,57186-11                ,5718610236      ,29,X,X,FAIL  ,2016-12-14,00:00,0,00:00,0,2017-12-10,3208:40,1475,3208:40,1475,"2号电动泵过热灯亮,在行进过程中.机组ELEC 2 HYD PUMP OVERHEAT PUEING FLAPS EXTENSION.",3208:40,"     航后依据AMM29-11更换A系统EMDP壳体回油滤,检查无碎屑,更换A系统EMDP,依据AMM29-32更换液压A系统超温警告电门,检查正常.顾生辉AF ref to AMM29-11 replace A SYS EMDP,case drain element,check nodebris,replace HYD A SYS EMDP,ref to AMM29-32 replace HYD A SYSoverheat warning switch,test ok.壳体回油滤:P/N:7577741",1475,57186-10                ,571866971       ,,6500.0,12897.5,, ,PUMP                                                        ,5606109,62214197
73N,73N05693,6809    ,DE    ,CC    ,57186-11                ,5718610311      ,29,X,X,FAIL  ,2017-10-11,6134:56,3141,800:48,407,2018-04-21,7848:12,3979,2514:04,1245,B系统低压 杨磊HYDARCHC SYSTEM B LOW PESS,1713:16, 航后依据AMM29-11-21更换B系统电动马达驱动泵，测试正常 杨磊AF REFER TO AMM29-11-21 REPLACE THE OF SYSTEM B,838,57186-11                ,571864170       ,PARKER  US,21224.0,41332.21,1713:16,838,PUMP                                                        ,6073411,62237964
73N,73N01382,5268    ,DE    ,CC    ,57186-11                ,571867851       ,29,X,X,FAIL  ,2018-07-24,49187:27,28220,10832:40,6414,2018-08-18,49367:49,28338,11078:52,6563,"飞机空中出现A系统电动液压泵灯亮,按检查单处正常落地 机组",246:12,"     地面检查,2#电动泵跳开关,恢复后,故障灯灭,按MEL29-04放行 JMJ机务RESET 2# PUMP TEST IS OK见CL 62256822 周立敏过站依据AMM29-11-21更换A系统电动马达驱动泵,结果测试正常 周立敏TR REFER TO AMM29-11-21 REPLACED H YDR AULIC SYSTEM A ELECTRIC PUMPTHE TEST OK",149,57186-11                ,K1501           ,PARKER  US,124.0,160.45,, ,PUMP                                                        ,6488212,62256822
