机型,制造序列号,机号,参考类型,件号,序号,件号描述,装上件号,装上序号,安装日期,拆换日期,章节号,部件装上使用小时数,部件装上使用循环数,部件拆下使用小时数,部件拆下使用循环数,部件本次装机使用小时,最近送修公司,送修至拆下时间/FH,送修至拆下时间/CY,故障描述,故障处理,拆换原因
73N,73N02046,5439    ,DE    ,3505945-10              ,GRTF3120        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTF1856        ,2014-12-01,2014-12-01,80    ,14888:00,7402,14888:00,7402,00:00,AMECO,2132:23,987,,  执行MAOTS711176 更换右发并完成相关测试，结果符合手册要求。carry out MAOTS711176 replace the R/H engine and do the related testthe result the manual.,FAIL  
73N,73N00972,2159    ,DE    ,3505945-9               ,GRTA2490C       ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF3640        ,2011-10-22,2014-05-22,80    ,36867:28,17629,45073:41,21759,8206:13,珠海摩天宇,22799:08,11577,过站左发无法起动。刘明明 TR  left engine can't starter 。,"   航后检查发现左发起动机有金属屑，更换左发起动机测试正常 无渗漏。刘明明挂签号4092696 AF find left engine starter damaged referenceAMM80-11-01。 
拆下件标牌破损丢失，器材件序号从系统中获取。",FAIL  
73N,73N03186,5503    ,DE    ,3505945-10              ,GRTF1210        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA1960C       ,2014-04-22,2014-04-30,80    ,00:00,0,77:25,43,77:25,,, ,,"   航后为完成借件拆还,依据AMM80-11-01-000-801-F00更换左发起动机.试车测试正常.章亮AF ORDER TO ACCOMPLISHED BORROW TO RETURN THE PART SO REFAMM80-11-01-000-801-F00 REPLACE THE ENG1 STARTER DO POWER TO TEST OK",FAIL  
73N,73N02611,5835    ,DE    ,3505945-12              ,GRTA7876        ,STARTER ASSY                                                ,3505945-12              ,GRTA7931        ,2014-04-13,2014-04-16,8011  ,00:00,0,29:59,15,29:59,,, ,,"   AF 依据AMM80-11-01完成右发启动机借件拆还工作,试车无渗漏,卡箍正常. AFrefer to AMM80-11-01 accomplished RH ENG starter replacement testok.clamp is ok. 洪永锋 RII 黄长辉 seal:s3225-222 s3225-160FL10775953B 补录件号.SEAL: M83248-2-905	",SCH   
73N,73N02433,5337    ,DE    ,3505945-10              ,GRTF0521        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTF1013        ,2007-10-30,2014-01-10,80    ,00:00,0,20476:28,10430,20476:28,,, ,机组反映右发启动不成功.机组,"  拆下起动机,检查起动机内轴断裂,依据AMM80-11-01,更换右发起动机.试车测试正常.何永华 Checked the starter was failure referred toAMM80-11-01 replaced the starter running test ok",FAIL  
73N,73N00515,5081    ,NRC   ,3505945-10              ,GRTA9789        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTF2264        ,2012-04-26,2013-10-06,80    ,11479:58,5587,16439:18,7932,4959:20,武汉航达,4959:20,2345,"检查右发起动机磁堵有中等数量尺寸小于0.1inch的金属屑,如工卡中C图所示
Check right engine starter magnetic chip detector for metal chips,referfigure C of jobcard.","        1
1-1.  依据AMM80-11-01-000-801-F00 拆下右发起动机.
Refer to AMM80-11-01-000-801-F00 removed right enigne starter. 
1-2.  依据AMM80-11-02-000-801-F00 拆下右发起动机QAD转接器.
Refer to AMM80-11-01-000-801-F00removed right enigne starter QAD adapter. 
1-3.  依据AMM80-11-02-000-801-F00 安装右发起动机QAD转接器.
Refer to AMM80-11-01-000-801-F00 installed right enigne starter QAD adapter. 
1-4.  依据AMM80-11-02-00-801-F00 安装新的右发起动机.
Refer to AMM80-11-01-400-801-F00 installed anew enigne starter. 
1-5.  依据AMM80-11-01-00-801-F00 测试正常.
Referto AMM80-11-01-400-801-F00 test OK. 
",FAIL  
73N,73N01170,2676    ,DE    ,3505945-10              ,GRTF7162S       ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTF7768S       ,2013-08-27,2013-08-29,80    ,00:00,0,19:27,9,19:27,,, ,,"  航后依据AMM80-11-01更换左发启动机,试车检查正常,无渗漏.赵怀彪 倪震靖PACKING:S3225-160/222 AF refer to AMM80-11-01 replace starter of NO.1ENG test ok,does not find leakage.",FAIL  
73N,73N01170,2676    ,DE    ,3505945-9               ,A3156C          ,(AOG)STARTER ASSY                                           ,3505945-10              ,GRTF7162S       ,2006-10-09,2013-08-27,72    ,7725:11,3861,30172:10,15290,22446:59,武汉航达,22446:59,11429,深圳过站机组反映左发启动不成功，，袁帅Szx tr crew asid the LH eng start fail,       深圳航后检查左发起动机磁堵发现大量金属屑依据手册AMM80-11-010 更换左发，试车检查无滑油渗漏，启动正常，检查前货收油池磁堵干净无杂质，袁帅Szx af check the starter magnetis plug and find more metalCheck the AGB TGB normal refer to AMM 80-11-01 replaced \the LH ENG starter test okPacking :S 3225-222Packing:S 3225-160Packing:M 83248-2-905,FAIL  
73N,73N02097,5182    ,NRC   ,3505945-9               ,GRTA4991C       ,(AOG)STARTER ASSY                                           ,3505945-11              ,GRTA5141C       ,2013-08-25,2013-08-25,80    ,41298:24,25526,41298:24,25526,00:00,SR,10355:57,7717,"执行MAOTS710910，因新发缺起动机，从旧发上串起动机。检查发现起动机漏油，安装新起动机。 
ROB THE STARTER FROM THE REMOVAL ENG TO THE NEW ENGFOR LACK OF IT REF TO MAOTS710910 .CHECKED AND FOUND A LEAKGE OF THESTARTER,INSTALL THE NEW STARTER .","    1
1-1.  参考AMM TASK 80-11-01-000-801-F00拆下起动机. 
REMOVE STARTERPER AMM TASK 80-11-01-000-801-F00 
1-2.  参考AMM TASK 80-11-01-400-801-F00安装起动机. 
INSTALL STARTER PER AMM TASK 80-11-01-400-801-F00 
1-3.  参考AMM TASK 80-11-01-400-801-F00做起动机安装测试. 
DO A STARTERINSTALLATION TEST PER AMM TASK 80-11-01-400-801-F00 
",FAIL  
73N,73N03038,5478    ,DE    ,3505945-10              ,GRTA7868        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTF7157S       ,2013-08-09,2013-08-10,8011  ,00:00,0,10:44,4,10:44,,, ,,"   航后完成借件拆换工作,依据AMM80-11-01更换右发启动机,测试无渗漏,试车正常.      陆思名AF accomplish bornow part strike to storeroom work refer toAMM80-11-01 replace startir engine test no leak   封圈P/N  S3225-222",SCH   
73N,73N03038,5478    ,DE    ,3505945-10              ,GRTF3120        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-10              ,GRTA7868        ,2009-09-22,2013-08-09,80    ,00:00,0,12755:37,6415,12755:37,,, ,航后检查发现右发启动机叶片六点钟位置有滑油.  杜艳辉 AF found rightengine starter vane six clock position have oil,"  航后更换右发启动机,并完成相关测试无渗漏,结果正常.  杜艳辉 AF replaceright engine starter and do function test no leakage the result isnormal.  3505945-10   GRTF3120   GRTA7868",FAIL  
73N,73N04171,5687    ,DE    ,3505945-10              ,GRTA5729        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA9332        ,2013-04-25,2013-06-06,8011  ,00:00,0,402:43,204,402:43,,, ,,"     航后完成MCO完成借件拆还依据AMM80-11-01更换右发起动机,拆下件办可用退航材,试车N1=70%持续5分钟,测试无渗漏,工作正常.苏国君AF accomplished MCO refered to AMM80-11-01 replaced the starter forR engine the removed part back to and sart engine to N1=70% andremain five minutes is ok no leakage found.封圈:S3225-222   S3225-160     M83248-2-905",SCH   
73N,73N03647,5580    ,DE    ,3505945-9               ,GRTA5151C       ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTF2780        ,2013-05-15,2013-06-03,80    ,00:00,0,164:09,95,164:09,,, ,,"     航后依据AMM80-11-01-000-801-F00和AMM80-11-01-400-801-F00完成右发启动机的借件拆还，并完成试车，检查无渗漏。刘建亮，张伟，挂签号3002622AF refer to AMM80-11-01-000-801-F00 accomplished the starter replacedof the right engine,and idle-power not leak封圈S3225-222,M83248-1-008,S3225-160M83248-2-905",SCH   
73N,73N02155,5710    ,DE    ,3505945-10              ,GRTA9449        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA2061C       ,2007-01-06,2013-05-14,80    ,00:00,0,18009:45,9741,18009:45,,, ,过站机组反映右发起动不成功.杨旭 TR the crew report RH engine fails tostart,"       过站检查引气压力和右发发动机起动活门均正常,拆下起动机磁堵正常无异物,依据AMM80-11-01拆下右发起动机,检查发现起动机部件失效.杨旭 TR checkthe start valve and bleed air are normal,the magnetic chip of startis normal,refer to AMM80-11-01 remove the starter of RH engine checkfind the starter doesn't work FLB10633108A航后依据AMM80-11-01更换右发起动机,测试右发启动正常,试车正常.刘飞,赵卫国,罗超 AF refer to AMM80-11-01 replace the rightengine starter,test ok 封圈S3225-160,S3225-222",FAIL  
73N,73N01273,5248    ,DE    ,3505945-10              ,GRTA7849        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA7780        ,2013-01-10,2013-04-27,80    ,20731:55,10330,21688:37,11200,956:42,武汉航达,956:42,870,," 航后依据AMM80-11更换右发起动机,测试正常.赵惠AF refer to AMM80-11 replace the R engine starter test is ok",FAIL  
73N,73N00587,5082    ,NRC   ,3505945-10              ,GRTA7849        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-11              ,GRTA5080C       ,2012-09-14,2012-11-06,8011  ,20289:35,10115,20731:55,10330,442:20,武汉航达,442:20,215,"检查左发起动机磁堵有中等数量尺寸小于0.1inch的金属屑,如工卡中C图所示
Check left engine starter magnetic chip detector for metal chips,referfigure C of jobcard.","     1
1-1.  依据AMM80-11-01-000-801-F00 拆下左发起动机.
Refer to AMM80-11-01-000-801-F00 removed left enigne starter.  
1-2.  依据AMM80-11-01-00-801-F00 安装左发起动机.
Refer to AMM80-11-01-400-801-F00 installedleft enigne starter.  
1-3.  依据AMM80-11-01-00-801-F00 测试正常.
Refer to AMM80-11-01-400-801-F00 test OK.  
王冰冰",SCH   
73N,73N01832,5138    ,DE    ,3505945-10              ,GRTA6199        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-11              ,GRTA2458C       ,2012-11-01,2012-11-01,80    ,33784:17,25028,33784:17,25028,00:00,SSAMC,17670:48,11006,,  执行MAOTS710781 更换左发并完成相关测试，测试结果符合手册要求。宋冰华Carried out MAOTS710781 replacement of L/H ENGINE and do related testthe result is according with manual.,FAIL  
73N,73N02265,5409    ,DE    ,3505945-10              ,GRTA9081        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA8149        ,2012-08-24,2012-09-02,80    ,19690:28,9791,19772:40,9843,82:12,北京丰荣,9064:35,4676,航后检查发现右发起动机磁堵有大量金属屑.黄春盛 AF check and find the Rengine MCD has many metal,"  航后依据AMM80-11拆下起动机及其安装底座详细检查QAD适配器无金属屑并更换起动机,试车测试正常,挂签号:2008582.黄春盛 AF refer to AMM80-11replace the R engine starter run ENG test is ok",FAIL  
73N,73N04063,5663    ,DE    ,3505945-10              ,GRTF6781        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,F6634           ,2012-05-23,2012-08-11,80    ,00:00,0,461:05,248,461:05,,, ,,   航后根据工卡AMM80-11-01更换右发起动机试车测试正常。挂签号:3013867昝飞 张翔AF refer to job card AMM80-11-01 replace the R engine starter andtest ok,FAIL  
73N,73N01796,5136    ,DE    ,3505945-10              ,GRTA7849        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA7294        ,2005-10-11,2012-07-13,80    ,00:00,0,20289:35,10115,20289:35,,, ,洗发时发现左发启动机排气格栅有滑油渗漏张欢欢The starter of LH engine had oil leaking from the air drain,"   依据AMM80-11-01更换左发启动机,试车检查无渗漏张欢欢,挂签号0011479Refer to AMM80-11-01 replaced the starter of LH engine and thereisn't leaking when do engine ground run",FAIL  
73N,73N01649,5115    ,DE    ,3505945-10              ,GRTA9651        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA8033        ,2012-05-01,2012-05-03,8011  ,00:00,0,07:52,4,07:52,,, ,,"  航后由于借件拆还根据AMM80-11--01更换右发起动机运转右发起动机测试正常.黄腾光AF due to return it to other company,replace the starter of RHeingine,running RH engine,test is normal.",SCH   
73N,73N01832,5138    ,DE    ,3505945-10              ,A6206           ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,A4476C          ,2012-01-16,2012-01-21,73    ,00:00,0,50:47,29,50:47,,, ,,   航后完成工卡MAOTG800005更换右发起动机参考AMM80-11-01试车测试正常.方大平AF complete MAOTG800005 REFER TO AMM80-11-01 replace the right ENGstarter ENG run test no leak found,FAIL  
73N,73N01805,5137    ,DE    ,3505945-10              ,GRTA9789        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA5113C       ,2010-03-12,2011-09-29,72    ,6622:38,3129,11479:58,5587,4857:20,武汉航达,4857:20,2458,完成工卡73N-80-010-02时发现右发起动机磁堵有大量金属屑 李鹏 There aremany magnetic particles of RH ENG starter when do the subtask73N-80-010-02,"  依据AMM80-11-01更换右发起动机，依据AMM80-11-01做渗漏测试李鹏，封圈AS3209-222,S3225-160,AS3581-905 Refer to AMM80-11-01replace the starter of RH ENG,do the run test to check the leakage",FAIL  
73N,73N02981,5481    ,DE    ,3505945-10              ,GRTF2759        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA7787        ,2009-07-16,2010-08-24,80    ,00:00,0,3656:42,1841,3656:42,,, ,航前起动左发时起动机冒白烟. 郑兆勇 PF start the left engine thestarter have smoke,"      更换左发起动机,检查前收油池磁堵,后收油池磁堵. AGB/TGB磁堵,更换滑油油滤,未发现金属屑,符合工卡要求. 挂签号 9011127 TAG NO: 9011127 郑兆勇必检签署  孙国宾 FLB10411915A Replace the left engine starter checkthe forward sump AFT sump AGB/TGB magnetic chip detector not foundmetal particles replace the engine oil filter not found metalparticles satisfaction the AMM.  封圈 S3225-160  封圈 S3225-222  封圈J221P027 9EA 油滤 QA06422  封圈  AS3209-239",FAIL  
73N,73N02046,5439    ,DE    ,3505945-10              ,GRTA7116        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA7787        ,2010-03-13,2010-03-14,80    ,00:00,0,11:03,7,11:03,,, ,,"  因借件拆还，依据AMM80-11-01更换左发起动机，试车测试无渗漏。吴国泰Replace LH engine starter refer to AMM80-11-01 due to spare,testnormal,no leakage.",FAIL  
73N,73N01511,5246    ,NRC   ,3505945-10              ,GRTA6534        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-9               ,GRTA4991C       ,2008-10-17,2010-02-27,80    ,00:00,0,20627:22,7346,20627:22,,, ,检查发现右发起动机涡轮室排放口有大面积滑油渗漏.Examine the R/H ENG STARTER exhaust housing diffuser FOUND A LARGE OFwet areas with oil.,"     1.参考AMM80-11-01/401更换起动机. REPLACE  STARTER  REF TO AMM80-11-01/401MINPRII2.参考AMM71-00-00/501做起动机安装渗漏测试,并确保测试结果符合手册要求.DO A STARTER INSTALLATION LEAKAGE TEST PER AMM71-00-00/501，AND MAKE SURE THE RESULT IAW THE MANUAL.MINPRII挂签号：9015048 工作者：曹哲",FAIL  
73N,73N00515,5081    ,DE    ,3505945-9               ,GRTA4991C       ,(AOG)STARTER ASSY                                           ,3505945-10              ,GRTF0456        ,2007-06-14,2009-12-24,72    ,21664:06,12963,30942:27,17809,9278:21,武汉航达,9278:21,4846,地面二发起动电门地面位N2指0。,  海口过站依据AMM80-11-01完成右发起动机的更换试车检查无渗漏。周永文TR referred to AMM80-11-01 replaced the right starter run up test forno leakage.,FAIL  
73N,73N02097,5182    ,DE    ,3505945-10              ,GRTF0456        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-9               ,GRTA3469C       ,2008-07-31,2009-11-19,80    ,00:00,0,4539:50,2286,4539:50,,, ,航后检查发现右发起动机排气格栅处挂有滑油油滴，风扇包皮处有滑油油迹AF CHECK THE RH STARTER EXHAUST GRILL HAS OIL DROPS.黄长辉,   依据AMM80-11-01更换右发起动机，试车检查无渗漏。AF REFER TOAMM80-11-01 TO REPLACE THE RH ENG STARTER .RUN RH ENG CHECK NOLEAKAGE .串件单：3171844.黄俊誉RII:何炬SEAL:S3225-160  S3225-222 AS3209-008 2EA,SWAP  
73N,73N02073,5181    ,DE    ,3505945-10              ,GRTA9081        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA2669C       ,2006-09-28,2009-09-17,80    ,00:00,0,10708:05,5167,10708:05,,, ,航后检查发现左发起动机漏油AF CHECK FIND LEFT ENGINE STARTER LEAKAGE,"  依据AMM80-11-01更换,试车验证结果正常.挂签号9524741REFER TO AMM80-11-01 REPLACE IT ENGINE RUN IN THE RESULT IS NORMAL王晓宇",FAIL  
73N,73N00551,5089    ,DE    ,3505945-10              ,GRTA8240        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-11              ,GRTA2396CC      ,2008-03-06,2008-06-14,72    ,5058:28,2954,5949:28,3353,891:00,武汉航达,891:00,399,,   FROM MAOTS800008更换5089左发起动机。钱清Replace the 5089's left engine.,FAIL  
73N,73N01170,2676    ,DE    ,3505945-9               ,GRTA4624C       ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTA1602C       ,2008-01-20,2008-01-21,72    ,00:00,0,14:09,7,14:09,,, ,,  航后完成更换起动机。张扬挂签号：0005134封圈：S3225-160;  S3225-160   ;   M83248-2-905,SCH   
73N,73N00230,5091    ,DE    ,3505945-9               ,GRTA4991C       ,(AOG)STARTER ASSY                                           ,3505945-11              ,GRTA4331C       ,2005-01-02,2007-04-19,80    ,13741:47,8066,21664:06,12963,7922:19,,, ,," 航后完成工卡EOCOM-80-003起动机送修(右发),试车检查起动机无滑油及空气渗漏.(涂敏刚)",SCH   
73N,73N00103,2637    ,DE    ,3505945-10              ,GRTA6161        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-11              ,GRTA4592C       ,2006-04-19,2007-01-29,8011  ,7145:29,4427,10067:14,5885,2921:45,,, ,右发起动机有油迹,    完成QZ-H80-11-01-002检查右发起动机有无滑油渗漏，检查有轻微油迹。磁堵有少许金属屑，未超标，冷转检查无渗漏。办DD2026283.陈维波TLB10215826航后完成撤DD2026283，更换起动机，依据AMM80-11-01，试车检查正常。胡鹏挂签号：0005478,FAIL  
73N,73N00551,5089    ,DE    ,3505945-9               ,GRTA3469C       ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTA1602C       ,2004-03-03,2006-10-13,80    ,00:00,0,8907:12,5419,8907:12,,, ,,  完成QZ-H80-11-01-001检查左发起动机有无滑油渗漏检查结果起动机周围有滑油油迹，并在冷转时油冒蓝烟现象，依据AMM80-11-01更换左发起动机，试车检查正常。朱建军 串件单3169571,FAIL  
73N,73N01170,2676    ,NRC   ,3505945-9               ,A3168C          ,(AOG)STARTER ASSY                                           ,3505945-12              ,A5064C          ,2005-04-29,2006-10-01,80    ,00:00,0,5315:25,2513,5315:25,,, ,检查发现右发起动机涡轮室排放口有大面积滑油渗漏.Examine the RH ENG STARTER exhaust housing diffuser FOUND wet areas with oil.,   1.参考AMM80-11-01更换起动机. REPLACE  STARTER  REF TO AMM80-11-01动力RII2.参考AMM71-00-00做起动机安装渗漏测试.DO A STARTER INSTALLATION LEAKAGE TEST PER AMM71-00-00动力RII,FAIL  
73N,73N00067,2636    ,DE    ,3505945-9               ,A3156C          ,(AOG)STARTER ASSY                                           ,3505945-11              ,GRTA4591C       ,2004-06-17,2006-08-22,80    ,13:16,3,7725:11,3861,7711:55,,, ,,  航后完成工卡QZ-H80-11-01-001检查左发起动机有无滑油渗漏，结果有渗漏。据AMM80-11-01更换左发起动机，试车检查无渗漏N1=72.0。杨清华P/N:S3225-160 S3225-222  M83248-2-905 挂签：0001845,FAIL  
73N,73N00477,5080    ,DE    ,3505945-9               ,GRTA5043C       ,(AOG)STARTER ASSY                                           ,3505945-12              ,A4476C          ,2004-03-12,2006-05-05,80    ,00:00,0,7690:18,4724,7690:18,,, ,"起动一发时，活门不开，N2不上升，机组完成发动机中止启动检查单，机务要求换另一侧点火再次起动，活门不开，N2不上升，机组中止启动,完成中止起动检查单，机务在地面起动活门开位，再次起动，活门开位,N2不上升，机组中止启动，完成中止启动检查单，后关2发没飞机拉回停机位。赵庆良",过站据AMM80-11-01更换左发起动机，试车测试左发工作正常。袁宇,FAIL  
73N,73N00230,5091    ,DE    ,3505945-10              ,A1660CC         ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTA2399CC      ,2004-11-23,2006-01-11,80    ,00:00,0,3968:29,2538,3968:29,,, ,航后完成工卡QZ-H80-11-01-001时发现左发起动机有滑油渗漏现象。石祥涛,  航后根据AMM80-11-01更换左发起动机试车测试起动机无渗漏。挂签：1002224何永华,FAIL  
73N,73N00163,5061    ,DE    ,3505945-9               ,GRTA2669C       ,(AOG)STARTER ASSY                                           ,3505945-11              ,A3166C          ,2003-09-06,2005-12-16,80    ,00:00,0,20194:03,12068,20194:03,,, ,航后检查发现左发起动机漏滑油。肖永民,  根据MM80-11-01-000-801-F00更换左发起动机，并试车检查工作正常，无渗漏肖永民P/N:AS1895-7-325 S3225-160 S3225-222,FAIL  
73N,73N00577,5090    ,DE    ,3505945-9               ,GRTA1514C       ,(AOG)STARTER ASSY                                           ,3505945-12              ,GRTA4600CC      ,2003-06-16,2005-06-07,80    ,00:00,0,10905:59,10728,10905:59,,, ,,       航后完成工卡QZ-80-010-02-00检查右发起动机磁堵-发现磁堵上有大量的金属屑，决定更换起动机拆除起动机后发现花键腔内有金属屑，目视检查起动机轴承无损伤，AGB花键腔无损伤，根据AMM79-00-00-200-801-F00完成发动机滑油回路检查，发现AGB/TGB磁堵上有三圈金属屑，发动机滑油滤内无金属屑经排放发动机滑油并冲洗后根据AMM80-11-01安装新的起动机经20分钟慢车后检查AGB/TGB磁堵仍有二圈金属屑，（三份）已送京检测，检验结果后处理。王强P/N：M83248-1-008J221P028,SCH   
73N,73N01191,2677    ,DE    ,3505945-9               ,A16590C         ,(AOG)STARTER ASSY                                           ,3505945-11              ,GRTA4760C       ,2002-08-13,2005-03-29,80    ,00:00,0,9251:54,4726,9251:54,,, ,,  接海口技术组邮件通知航后检查右发起动机磁堵，经检查磁堵上有金属屑，更换右发起动机，试车测试正常，检查无渗漏，检查磁堵无金属屑张文利，挂签号0001794，封圈件号M83248-1-008(2个）,FAIL  
73N,73N00577,5090    ,DE    ,3505945-9               ,A3156C          ,(AOG)STARTER ASSY                                           ,3505945-11              ,GRTA5141C       ,2004-04-07,2004-04-16,80    ,00:00,0,13:16,3,13:16,,, ,起动二发过程中机务发现右发冒烟. 张健," 过站依据AMM80-11-00更换右发起动机,并作测试,符合手册要求,无滑油渗漏(冒烟时,确认为右发起动机漏滑油). 挂签号001573   王强",FAIL  
